timestamp,ghi_wm2,temp_c,cloud_cover_pct,pv_w,load_w,import_usd_per_kwh,export_usd_per_kwh
2024-07-15 00:00:00-07:00,0.0,19.1,0.0,0.0,517.5,0.28,0.08
2024-07-15 00:30:00-07:00,0.0,18.85,0.0,0.0,483.0,0.28,0.08
2024-07-15 01:00:00-07:00,0.0,18.6,0.0,0.0,460.0,0.28,0.08
2024-07-15 01:30:00-07:00,0.0,18.4,0.0,0.0,460.0,0.28,0.08
2024-07-15 02:00:00-07:00,0.0,18.2,0.0,0.0,448.5,0.28,0.08
2024-07-15 02:30:00-07:00,0.0,18.1,0.0,0.0,448.5,0.28,0.08
2024-07-15 03:00:00-07:00,0.0,18.0,0.0,0.0,460.0,0.28,0.08
2024-07-15 03:30:00-07:00,0.0,17.8,0.0,0.0,483.0,0.28,0.08
2024-07-15 04:00:00-07:00,0.0,17.6,0.0,0.0,552.0,0.28,0.08
2024-07-15 04:30:00-07:00,0.0,17.4,0.0,0.0,632.5,0.28,0.08
2024-07-15 05:00:00-07:00,0.0,17.2,0.0,0.0,805.0,0.28,0.08
2024-07-15 05:30:00-07:00,0.0,17.2,7.5,0.0,1035.0,0.28,0.08
2024-07-15 06:00:00-07:00,0.0,17.2,15.0,0.0,1265.0,0.28,0.08
2024-07-15 06:30:00-07:00,27.0,17.45,22.5,143.15130000000002,1380.0,0.28,0.08
2024-07-15 07:00:00-07:00,54.0,17.7,30.0,285.271632,1207.5,0.28,0.08
2024-07-15 07:30:00-07:00,133.0,18.45,25.0,695.1330119999999,1092.5,0.28,0.08
2024-07-15 08:00:00-07:00,212.0,19.2,20.0,1096.1078400000001,977.5,0.28,0.08
2024-07-15 08:30:00-07:00,305.5,20.1,24.5,1559.118639,920.0,0.28,0.08
2024-07-15 09:00:00-07:00,399.0,21.0,29.0,2009.6337239999998,897.0,0.28,0.08
2024-07-15 09:30:00-07:00,498.5,22.1,24.5,2473.871055,943.0,0.28,0.08
2024-07-15 10:00:00-07:00,598.0,23.2,20.0,2923.373232,1035.0,0.28,0.08
2024-07-15 10:30:00-07:00,679.5,24.5,11.0,3274.984791,1127.0,0.28,0.08
2024-07-15 11:00:00-07:00,761.0,25.8,2.0,3615.3679319999997,1207.5,0.28,0.08
2024-07-15 11:30:00-07:00,818.0,26.950000000000003,1.0,3842.689152,1265.0,0.28,0.08
2024-07-15 12:00:00-07:00,875.0,28.1,0.0,4063.9514999999997,1322.5,0.28,0.08
2024-07-15 12:30:00-07:00,905.0,28.75,0.0,4177.1361,1357.0,0.28,0.08
2024-07-15 13:00:00-07:00,935.0,29.4,0.0,4288.58694,1380.0,0.28,0.08
2024-07-15 13:30:00-07:00,936.0,29.35,1.5,4293.65664,1403.0,0.28,0.08
2024-07-15 14:00:00-07:00,937.0,29.3,3.0,4298.727372,1437.5,0.28,0.08
2024-07-15 14:30:00-07:00,907.5,29.05,2.0,4181.885235,1472.0,0.28,0.08
2024-07-15 15:00:00-07:00,878.0,28.8,1.0,4063.8405599999996,1518.0,0.28,0.08
2024-07-15 15:30:00-07:00,821.0,28.450000000000003,1.0,3830.0930759999997,1610.0,0.28,0.08
2024-07-15 16:00:00-07:00,764.0,28.1,1.0,3592.169088,1782.5,0.52,0.08
2024-07-15 16:30:00-07:00,684.0,27.4,1.0,3254.14368,1955.0,0.52,0.08
2024-07-15 17:00:00-07:00,604.0,26.7,1.0,2907.201792,2127.5,0.52,0.08
2024-07-15 17:30:00-07:00,510.0,25.799999999999997,1.5,2488.9672800000003,2242.5,0.52,0.08
2024-07-15 18:00:00-07:00,416.0,24.9,2.0,2058.121728,2357.5,0.52,0.08
2024-07-15 18:30:00-07:00,317.5,24.25,1.0,1591.1988749999998,2415.0,0.52,0.08
2024-07-15 19:00:00-07:00,219.0,23.6,0.0,1111.620348,2300.0,0.52,0.08
2024-07-15 19:30:00-07:00,136.5,22.65,0.0,701.3465550000001,2070.0,0.52,0.08
2024-07-15 20:00:00-07:00,54.0,21.7,0.0,280.81339199999996,1725.0,0.52,0.08
2024-07-15 20:30:00-07:00,27.0,20.95,0.0,141.20082000000002,1437.5,0.52,0.08
2024-07-15 21:00:00-07:00,0.0,20.2,0.0,0.0,1150.0,0.28,0.08
2024-07-15 21:30:00-07:00,0.0,19.799999999999997,0.0,0.0,920.0,0.28,0.08
2024-07-15 22:00:00-07:00,0.0,19.4,0.0,0.0,747.5,0.28,0.08
2024-07-15 22:30:00-07:00,0.0,19.2,0.0,0.0,632.5,0.28,0.08
2024-07-15 23:00:00-07:00,0.0,19.0,0.0,0.0,575.0,0.28,0.08
2024-07-15 23:30:00-07:00,0.0,19.0,0.0,0.0,540.5,0.28,0.08
